Story Code,Annotator #1 Code,Annotator #2 Code,Story Title,Plot Summary,Content warnings,Author Code,Second author code (if applicable),Investigation-reveal order,Reveal border sentence,Name of Detective #1,Detective #1 Gender,Detective #1 Role,Name of Detective #2,Detective #2 Gender,Detective #2 Role,Number of detectives if more than 2,Name of Assistant #1,Assistant #1 Gender,Assistant #1 Role,Name of Assistant #2,Assistant #2 Gender,Assistant #2 Role,Number of assistants if more than 2,Number of victims of gender Male,Number of victims of gender Female,Number of victims of gender Non-binary,Number of victims of gender Unknown,Number of victims who are corporate entities,Number of culprits of gender Male,Number of culprits of gender Female,Number of culprits of gender Non-binary,Number of culprits of gender Unknown,Culprits introduced during reveal?,Main culprit independence,Initiator of investigation,Role of police,Focus on crime or quasi-crime,Crime trajectory,Occurrence of crime or mystery,Types of qrimes,Motives,Means (murder only),Sufficient clues to guess?,Sufficient clues to solve?,Correct annotator guess?,Types of clues,Essential clue,Type of essential clue,Most salient clue,Type of most salient clue,Red herring description,Type of red herring,Presence of planted or fabricated evidence,Types of evidence made available,Is the crime solved?,Decision NOT to alert authorities?,Satisfying narrative account?,How satisfying as detective fiction?,Recommend to friend?,Date of First Publication (YYYY-MM-DD),Format of First Publication (Journal or Book),Name of Journal or Title of Book
RSH04,ZC,WW,The Solitary Cyclist,"Miss Violet Smith, a young music instructor and governess, cycles to and from her workplace on a weekly basis. Lately, she has been followed by a bearded cyclist, who has not made any attempt to close their distance and yet pursues her doggedly.",,ACD,,Standard,"Yes,” said our ally, “I am Bob Carruthers",Sherlock Holmes,Male,Independent amateur,,,,,John Watson,Male,Independent amateur,,,,,2,1,0,0,0,3,0,0,0,No,Acts together with one or more equal partners,A private client,Police are not present,Crime,No qrime → qrime,During the investigation,"Fraud, Assault, Kidnapping, Murder","Greed, Jealousy, Love",Firearm,No,No,No,"Legible but not usable (legible → not usable), Usable in real time (usable → usable), Usable only in retrospect (legible → usable)",_none,_none,"The person following Violet Smith keeps his distance, not wanting her to see his face.",Testimonial clue,,,,"Testimonial evidence, Physical evidence",Yes,No,Yes,2,No,1903-12-26,Journal,Collier's Weekly
RSH05,SK,CC,The Priory School,"Unforeseen circumstances lead to the disappearance of Lord Saltire, the son of the Duke of Holdernesse. His school principal seeks the assistance of Sherlock Holmes and Watson to solve the mystery of the child’s disappearance!",,ACD,,Standard,Sherlock Holmes's answer was an astounding one.,Sherlock Holmes,Male,Independent amateur,,,,,John Watson,Male,Independent amateur,,,,,3,0,0,0,0,3,1,0,0,Yes,Acts together with one or more equal partners,A private client,"Police are present but with no role, or only a minor role, in helping solve the crime",Crime,Qrime → different qrime,"Before the investigation, During the investigation","Murder, Blackmail, Kidnapping","Greed, Jealousy, Pride",Blunt force trauma,No,No,No,"Legible but not usable (legible → not usable), Usable in real time (usable → usable), Usable only in retrospect (legible → usable), Ex post -- new clue (not mentioned → usable)",Holmes seeing the horse stable,Physical clue,Cow tracks,Physical clue,,,,"Testimonial evidence, Physical evidence",Yes,Yes,Yes,3,Yes,1904-01-30,Journal,Collier's Weekly
RSH06,SK,CC,Black Peter,"A hot-headed ship captain is found dead in a cottage away from his house, and the police inspector on the case seeks the assistance of Sherlock Holmes and Watson in order to determine who murdered the captain.",,ACD,,Standard,"You were so absorbed in young Neligan that you could not spare a thought to Patrick Cairns, the true murderer of Peter Carey.”",Sherlock Holmes,Male,Independent amateur,,,,,John Watson,Male,Independent amateur,,,,,2,0,0,0,0,2,0,0,0,Yes,Acts alone,The police,Police are present and contribute significantly to solving the crime,Crime,Qrime → same qrime,Before the investigation,"Murder, Theft, Blackmail, Assault","Greed, Revenge, Self-defence",Blunt force trauma,No,No,No,"Legible but not usable (legible → not usable), Usable in real time (usable → usable), Usable only in retrospect (legible → usable), Ex post -- new clue (not mentioned → usable), Ex post -- newly usable clue (illegible → usable)",Only rum was drunk when Whisky & Brandy were available,Physical clue,The harpoon as a murder weapon,Physical clue,,,,"Testimonial evidence, Physical evidence",Yes,No,Yes,3,No,1904-02-27,Journal,Collier's Weekly
RSH07,SK,CC,Charles Augustus Milverton,"With a professional blackmailer on the loose, Sherlock Holmes seeks to put a stop to the deviant’s man’s antics after being requested help from a well-known and recent debutante who now has her engagement on the line.",,ACD,,Reverse,Milverton will send the letters to the Earl unless a large sum of money is paid him.,Sherlock Holmes,Male,Independent amateur,,,,,John Watson,Male,Independent amateur,,,,,2,2,0,0,0,3,1,0,0,,Acts alone,A private client,"Police are present but with no role, or only a minor role, in helping solve the crime",Crime,Qrime → different qrime,"Before the investigation, During the investigation","Murder, Theft, Fraud, Blackmail","Greed, Revenge, Pride",Firearm,Yes,Yes,Yes,"Legible but not usable (legible → not usable), Usable in real time (usable → usable)",Milverton not being alone and looking at his watch (i.e. expecting someone),Physical clue,Blackmailing activity,Testimonial clue,,,,"Testimonial evidence, Physical evidence",Yes,Yes,Yes,4,Yes,1904-03-26,Journal,Collier's Weekly
HLB01,SO,JM,Wisteria Lodge,"Invited to stay a few days with a new friend of his, Mr. Eccles finds the house empty in the morning. Later that day, that very friend is found beaten to death. Dictators? Sacrificed animals? Sherlock Holmes investigates.",racism,ACD,,Standard,"“Just sit down in that chair, Watson,” said Sherlock Holmes when we had returned to our apartment at the Bull. ",Sherlock Holmes,Male,Independent amateur,,,,,John Watson ,Male,Independent amateur,,,,,4,1,0,0,0,5,2,0,0,Yes,Acts together with one or more equal partners,A private client,Police are present and contribute significantly to solving the crime,Crime,No qrime → qrime,"Before the investigation, During the investigation, After the investigation","Murder, Fraud, Assault, Kidnapping","Revenge, Crime-for-crime's-sake, Self-defence","Firearm, Blunt force trauma",No,No,No,"Legible but not usable (legible → not usable), Usable in real time (usable → usable), Usable only in retrospect (legible → usable), Ex post -- new clue (not mentioned → usable), Ex post -- newly usable clue (illegible → usable)",Mr.Henderson's weird behaviours,Testimonial clue,The letter ,Physical clue,,,,"Testimonial evidence, Physical evidence",Yes,No,Yes,2,Yes,1908-08-15,Journal,Collier's Magazine
HLB02,SO,JM,The Cardboard Box,A woman receives two ears in a box. Some kind of sick joke or a violent murder?,,ACD,,Standard,"On the contrary, to my mind nothing could be more clear. Let me run over the principal steps.",Sherlock Holmes,Male,Independent amateur,,,,,John Watson ,Male,Independent amateur,,,,,1,2,0,0,0,1,0,0,0,No,Acts alone,The police,"Police are present but with no role, or only a minor role, in helping solve the crime",Crime,Qrime → different qrime,Before the investigation,"Murder, Assault",Jealousy,Blunt force trauma,Yes,No,No,"Usable in real time (usable → usable), Usable only in retrospect (legible → usable), Ex post -- new clue (not mentioned → usable), Ex post -- newly usable clue (illegible → usable)",The knot,Physical clue,The ears,Physical clue,,,,"Testimonial evidence, Physical evidence",Yes,No,Yes,3,Yes,1893-01,Journal,The Strand
HLB03,SO,JM,The Red Circle,A recluse from Italy rents a room... and never leaves it again. Sherlock Holmes uses his Italian to find the truth.,,ACD,,Standard,"“I was born in Posilippo, near Naples,” said she, “and was the daughter of Augusto Barelli, who was the chief lawyer and once the deputy of that part. ",Sherlock Holmes,Male,Independent amateur,,,,,John Watson ,Male,Independent amateur,,,,,2,1,0,0,0,2,0,0,0,Yes,Acts on behalf of a crime syndicate,A private client,"Police are present but with no role, or only a minor role, in helping solve the crime",Quasi-crime,No qrime → qrime,"During the investigation, After the investigation","Murder, Blackmail, Kidnapping, Breaking and entering, Sexual Assault",Self-defence,Knife/sword,No,No,No,"Legible but not usable (legible → not usable), Usable in real time (usable → usable), Ex post -- new clue (not mentioned → usable), Ex post -- newly usable clue (illegible → usable)","""ATTENTA"" lantern signals from the husband",Physical clue,"""ATTENTA"" lantern signal from the husband",Physical clue,,,,"Testimonial evidence, Physical evidence",Yes,No,Yes,1,No,1911-04,Journal,The Strand
HLB04,CC,WW,The Bruce-Partington Plans ,"A government clerk is discovered on the tracks of a London train, his head crushed. From Mycroft Holmes, Sherlock learns that this death is connected to the disappearance of several papers of grave significance to national interests",,ACD,,Standard,"With the shock, his broad-brimmed hat flew from his head, his cravat slipped sown from his lips, and there were the long light beard and the soft, handsome delicate features of Colonel Valentine Walter.",Sherlock Holmes,Male,Independent amateur,,,,,John Watson,Male,Independent amateur,,,,,1,0,0,0,1,2,0,0,0,No,Acts together with one or more equal partners,A private client,"Police are present but with no role, or only a minor role, in helping solve the crime",Crime,Qrime → same qrime,Before the investigation,"Murder, Theft, Breaking and entering",Greed,Blunt force trauma,No,No,No,"Legible but not usable (legible → not usable), Usable in real time (usable → usable), Usable only in retrospect (legible → usable)","The telegraphs that were sent from ""Pierrot""",Physical clue,Culprit's brother passing away from stress/broken heart as a result of the crime.,Testimonial clue,,,Planted,"Testimonial evidence, Physical evidence",Yes,No,Yes,3,No,1908-12,Journal,The Strand
HLB05,CC,WW,The Dying Detective,"John Watson arrives at Baker Street to find Sherlock Holmes delirious and dying of an unknown illness. Rejecting Watson's medical assistance, Holmes instead demands to speak to Mr. Culverton Smith, an expert on a mysterious plantation disease.",,ACD,,Standard,“A match and a cigarette.”,Sherlock Holmes,Male,Independent amateur,,,,,John Watson,Male,Independent amateur,,,,,2,0,0,0,0,1,0,0,0,No,Acts alone,Unclear/not specified,"Police are present but with no role, or only a minor role, in helping solve the crime",Crime,No qrime → qrime,Before the investigation,Murder,"Greed, Revenge",Poison,Yes,No,Yes,"Legible but not usable (legible → not usable), Usable in real time (usable → usable), Usable only in retrospect (legible → usable), Ex post -- newly usable clue (illegible → usable)",The ivory box,Physical clue,Malevolent expression of culprit when he learns that Holmes is dying,Physical clue,,,,"Testimonial evidence, Physical evidence",Yes,No,No,3,Yes,1913-12,Journal,The Strand
HLB06,CC,WW,Lady Frances Carfax,"John Watson is sent to Switzerland to investigate the mysterious disappearance of Lady Frances Carfax, who vanished along with a collection of silver and diamond jewelry. When Watson fails to perform adequately, Holmes steps in to continue the investigation and find the missing woman.",,ACD,,Standard,As we did so there came from the inside a stupefying and overpowering smell of chloroform. ,Sherlock Holmes,Male,Independent amateur,,,,,John Watson,Male,Independent amateur,,,,,0,1,0,0,0,1,1,0,0,No,Acts together with one or more equal partners,A private client,Police are present and actively interfere with or hinder the solution of the crime,Crime,No qrime → qrime,"Before the investigation, During the investigation","Murder, Theft, Kidnapping",Greed,Asphyxiation,Yes,No,No,"Legible but not usable (legible → not usable), Usable in real time (usable → usable), Ex post -- newly usable clue (illegible → usable)",The coffin being 'out of the ordinary',Physical clue,Conducting a funeral so soon after the disappearance of Lady Carfax,Testimonial clue,,,,"Testimonial evidence, Physical evidence",Yes,No,Yes,3,No,1911-12,Journal,The Strand
RSH11,ZC,SK,The Adventure of the Missing Three-Quarter,"When a valuable rugby player disappears, Sherlock Holmes delves into a case surrounding a hefty inheritance and a suspicious doctor only to find out that some things are perhaps much simpler than expected.",,ACD,,Standard,He pushed open a half-closed door and we both stood appalled at the sight before us.,Sherlock Holmes,Male,Independent amateur,,,,,John Watson,Male,Independent amateur,,,,,0,0,0,0,0,0,0,0,0,No,,A private client,Police are not present,Quasi-crime,Qrime → no qrime,Before the investigation,Kidnapping,"Greed, Pride",,No,No,No,"Evoked, Usable in real time (usable → usable), Usable only in retrospect (legible → usable), Red herring (usable → legible), Ex post -- newly usable clue (illegible → usable)",The medical bills,Physical clue,Dr. Leslie Armstrong's suspicious behaviour ,Testimonial clue,The fact that the perceived victim was the heir to a large fortune and may have been taken for ransom.,Testimonial clue,,"Testimonial evidence, Physical evidence",Yes,No,Yes,3,No,1904-08,Journal,The Strand
RSH12,ZC,SK,The Adventure of the Abbey Grange,"Sherlock Holmes investigates the murder of Sir Eustace Brackenstall, who was killed and robbed in his home. Poor Lady Brackenstall witnessed the murder as three robbers broke into their home, tied her up, and killed her husband. Holmes quickly learns that things aren't always as they seem.",,ACD,,Standard,"So far as I am concerned I regret nothing and I fear nothing, and I would do it all again and be proud of the job. ",Sherlock Holmes,Male,Independent amateur,,,,,John Watson,Male,Independent amateur,,,,,1,2,0,0,0,2,2,0,0,Yes,Acts together with one or more equal partners,The police,"Police are present but with no role, or only a minor role, in helping solve the crime",Crime,Qrime → different qrime,Before the investigation,"Murder, Theft, Fraud, Assault","Greed, Revenge, Jealousy, Love, Self-defence",Other,Yes,No,Yes,"Legible but not usable (legible → not usable), Usable in real time (usable → usable), Usable only in retrospect (legible → usable), Red herring (usable → legible)",The rope that was frayed by a man who was no shorter than 6 feet 3 inches,Physical clue,The fact that the deceased was an abusive drunk,Testimonial clue,Theresa Wright’s false statement of the robbery,Testimonial clue,"Planted, Fabricated","Testimonial evidence, Physical evidence",Yes,Yes,Yes,5,Yes,1904-09,Journal,The Strand
